session_key,source_relpath,checksum_sha256,seq
b3e52f618aae2727d6b5c59df4553868e5acdd31,19970723_2.mp3,ae24b2bb331b1cd59fd26828f5e4c7ad2130fc110bccbbcaa47db8e260a86b48,1
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_1.mp3,776aa9208b5ecf5017266f7d48411ec783275474fdcd7f430bd22551128caf43,1
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_10.mp3,56863066736a675c4f753924d2f826a9633eeecbf4eaf50528add6ecba9aa8d4,2
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_11.mp3,a9ba904217bd56651f3d4ce74546d41ed5e85f9579b486bafc2dea2f5151d182,3
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_2.mp3,c0ddf8dcf3c44155e5b711bb994b5435ebe2e35b46b5a01b85b901c5c17286bf,4
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_3.mp3,35ccc2754bfc2c20b544b83f769e85e71ee49a64d1b3aac399479e26b6e42d1b,5
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_4.mp3,ca30f22bddae122befbb6533a9a80b4e82dec970d500fe5a92c3a09161018dbe,6
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_5.mp3,01c586e692a823cd49b37a3b77263783766e64054005544113b63ced8649768b,7
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_6.mp3,488f6952dafe6a62e956b6eb9dd8028acc92de281c251e9d4d96b145d12cbed0,8
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_7.mp3,16d2c4eafeb6d50f1d97cc6c8a0c3422114c624a33b2de356050c7229c04506a,9
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_8.mp3,ab22bf98cb597cbf42ebd6d2a566dbe94eca25986f5bb7d6304709cdd5690546,10
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_9.mp3,dadc51665db16066babf336450fd3308a4cc5390baa0dae8d9d9f06289d33041,11
311f0f2c27c04703de48f2bbcc12827ddd0893e9,19980214_1.mp3,183983ee3c837c722efbac3d9565701eed9ced69281637dad87e1a547a7ff873,1
58d9be7660756086e0c4805e513f7fe3b9174bcd,19980228_1.mp3,6136854c6742ddfc819f7aba8dcdf08d146c591c04a2df30d32d0a5574028634,1
58d9be7660756086e0c4805e513f7fe3b9174bcd,19980228_2.mp3,43934775e64ec4e376b023a7f2fcb73766b160fa2cc3372214128d7b62c3ed4c,2
21032e8279e133005d78470259baf45754f92aa9,19980512_1.mp3,083000d09d5c746d216d0f58b4452456c2815e605a0246f1eb000d924e5af0fa,1
1b67db4ee373721f08ce6d8407fe21b8b73032a8,19980701_1.mp3,2026f2a2205acfd5fb3dcfa5b521db3be5ae9637cd84fe0c7136a1261c48ea30,1
69b68fd6e6851e99c40f5cceb0feaaa1aa3229f9,19980708_1.mp3,1c75fb07fb5d15317c84d3a58d43ca5fb0450ae6b12d69228ea27effc4eb83b8,1
69b68fd6e6851e99c40f5cceb0feaaa1aa3229f9,19980708_2.mp3,786505d77986ce3a2bd5f47bb147c7a710d0e80040a70fe747d14d290465e507,2
69b68fd6e6851e99c40f5cceb0feaaa1aa3229f9,19980708_3.mp3,7379d91854c171128f8f24eb75639c808bc4267d278b5c365bbf618cf073c7a8,3
4340b6527e10fdc2af8f196bbaf1cbbd8830d8da,19980910_1.mp3,ab87f4857943f1ea0bd861a4ed2f870979b053852bd2fe7c849748c3923bae81,1
4340b6527e10fdc2af8f196bbaf1cbbd8830d8da,19980910_2.mp3,a33799ab1d7dafa4cb53f2f4a2f839a371a6ed3a61d46ef0f9ec696c32bb337f,2
4340b6527e10fdc2af8f196bbaf1cbbd8830d8da,19980910_3.mp3,97c35724958f1293fde7df4722eb9096f444a959908a828405bd49b73c1740c9,3
4340b6527e10fdc2af8f196bbaf1cbbd8830d8da,19980910_4.mp3,b7cfa7746bccef92006f11434c93c19a0ac629fa27d10923fa61262fa66691b5,4
4340b6527e10fdc2af8f196bbaf1cbbd8830d8da,19980910_5.mp3,c667f81f51e2b1150c79a672ee4c189e27cca71f1f6d3e556af2eeac283c9550,5
5e8559ed263a69df202a8d15d562726c634e46aa,19980917_1.mp3,90917701f484a1be466d47a6fdb9a458992ff375dec45baec8bffc51ecefc850,1
8d23cbbe7aa9751fa4e4551ce5e151ccce53e7af,19980930_1.mp3,f06cfd6b5424c3792f7a675881b9960f58d6bb075f8773c38f3474e9e61c70c3,1
8d23cbbe7aa9751fa4e4551ce5e151ccce53e7af,19980930_2.mp3,0cd9b015ff6f22f4f3ef6b8e7a964cb50e77908d5a4998d7f6cda3ca78eecbb2,2
8d23cbbe7aa9751fa4e4551ce5e151ccce53e7af,19980930_3.mp3,b6a84dcd14562ecb3effa210396057a91c02e5d85255484d7cc4f9607ed1a22d,3
8d23cbbe7aa9751fa4e4551ce5e151ccce53e7af,19980930_4.mp3,5b4a36f7b9c1f14c3d58200107f8a1d657214b7d010b3568c5d341d6d71b8264,4
fd9f0cc0ecc03906d38a95fba1468bf32470738f,19981119_1.mp3,8462a11a983f51fe75067d31d285e2f8661804ec716b77ac2e914b0927a730f9,1
fd9f0cc0ecc03906d38a95fba1468bf32470738f,19981119_2.mp3,6d0ea475b5f687464e5ca2b71347d9362f1a90aea09eb66713ec4a8d930da7c7,2
fd9f0cc0ecc03906d38a95fba1468bf32470738f,19981119_3.mp3,44194da7f6389d61b856b57da070380410380c2e0828909f515f45d9f523bf06,3
fd9f0cc0ecc03906d38a95fba1468bf32470738f,19981119_4.mp3,805c7662ee8ac5365f30710abe2017bc51954fbfea6d5852fcbb3f58149dcca0,4
fd9f0cc0ecc03906d38a95fba1468bf32470738f,19981119_5.mp3,c38f3c81dedb41c6e4c7526766110f6f2a2bc80eba7228076e812a6f1105834c,5
cdb80d35f80fe7e6992761a3aa8de5304f9f499b,19981217_1.mp3,767c266aaac95047a7332b9b976272a92e4f578a4a65ff23029b44e87873935f,1
cdb80d35f80fe7e6992761a3aa8de5304f9f499b,19981217_2.mp3,d9bb99918320383e612de7c6026dc77e5383f063598548a526a2f36de70d2264,2
346032b4089e43488a2306097d0c524781dab28c,19990114_1.mp3,f0dac56cd65d06dd678f49ef66c15cfe925b134d67e02ff44220daa00eb303eb,1
346032b4089e43488a2306097d0c524781dab28c,19990114_2.mp3,8bd7ca77a191ec7ba6d79d826e77348021f3b432af4f9c24593bf36fdd1ac9ae,2
346032b4089e43488a2306097d0c524781dab28c,19990114_3.mp3,bde93bdfc1cc9bc26bb0166fde76452cbab697cff5c8ab72eb22ef4cfa24964d,3
346032b4089e43488a2306097d0c524781dab28c,19990114_4.mp3,444220c5d9f4364649143927a5dda225c76c646d51065d99b01f7fdd08877154,4
e0d95b52f0eb5b159d76436b5007ec4bc48d81ed,19990131_1.mp3,e46262c60072011d25eca4b13883913006a11a28293200798d55c691caebb185,1
e0d95b52f0eb5b159d76436b5007ec4bc48d81ed,19990131_2.mp3,197ff693f849eb5a02d4e93193301e7f69ecb20bfbc0257b015b731387769005,2
143b3335ebed95d473900d9570bfbd3a2923d284,19990408_1.mp3,1b13ad15b894cc8f267601c782a9cb156756afb2b43a02d25aa8a8cd0bfd4640,1
143b3335ebed95d473900d9570bfbd3a2923d284,19990408_2.mp3,b933cde95597971e903c674593fcee87c2f2f1113c32b797a0ffe318f166d005,2
64082d9ebd1d7145c4fc2acf182595eb4b4c1e3f,19990506_1.mp3,bf699d4b79979b8aca8e532b763164353c4c93e9e97d04ba8ba46cd89c0be6bb,1
6b3d950d7a7c2639659978399c4ee2ebf566f1ed,19991106_1.mp3,002df3fe1d37039b7a4f8c5dec70d74836029528ff872c088bdb5591fdfba10c,1
6b3d950d7a7c2639659978399c4ee2ebf566f1ed,19991106_2.mp3,7ad2a641ba5fa6187733dc8376693e4f87342e989e26908d76ceb178ed692c2e,2
052d8fad7f46c0d4f6ae083c4ccb1bb81fc23fea,20000622_2.mp3,cf1f11255453188a0331f9d6570e9de5fe9a1b20df443e833479bb560a85fae5,1
052d8fad7f46c0d4f6ae083c4ccb1bb81fc23fea,20000622_4.mp3,908ee4ae7c716e56948b76064ed5d80e33caa2f9a5fab040dcc5ea6d58e67b60,2
e85d24d52b017532fc1d817aa98c7897c86362c1,20000714_1.mp3,9ae1efcf762620beb52c5f3daefb6a1e65e95f09de6358d45e0414c7a55398bf,1
e85d24d52b017532fc1d817aa98c7897c86362c1,20000714_2.mp3,524122398f1730720f0924d68b21c574ccfa88128d5c190692c4a58bb9ffc754,2
e85d24d52b017532fc1d817aa98c7897c86362c1,20000714_8.mp3,7eb3e24e86804b49b7f2537e9bcbe9fc13923e4d5a1186f6463d46ed5ee48231,3
4154deffa8b4b1e17a202afa22379e91853eb65d,20000803_3.mp3,a28c84756cc2587da9dfaeab7052911a9bf6b192f213ed16abebeda675616799,1
4154deffa8b4b1e17a202afa22379e91853eb65d,20000803_4.mp3,110b1bb4ba0411d251cf878749ae1585d994e6988f181fdb27f7af74feef8227,2
94e0bf08e870741254fd10cd1f8ff86618679e78,20000816_1.mp3,e500b451f92254305c5dc2a449387510baaf52e043118c9339abe7437fb84981,1
9eadd73542f1573c69cd00df69f689995c7f4d62,20000831_1.mp3,0b2f668b6c9a916b3963e9ad494ba6a0f9cb3f999d0b71d98a55f7ddf2b64df5,1
9eadd73542f1573c69cd00df69f689995c7f4d62,20000831_2.mp3,cb3a2634f70d047d61641613aba7763295394b9dd1ee01e6776939fb2c967da2,2
6cd4efa3dbf504131760e3e1ab140624846f5707,20001005_1.mp3,176b8b0891d38c782c002f0957b3a5e219873c4ebf459cdfd9cd730ae0e99d93,1
e88b1816bfcf0ecf0ad9bc35f114d1a28b963fd0,20001130_1.mp3,664a5b58721edaf552ecb95900eed0204f7535b47746e097b91d165fbd0737e7,1
e88b1816bfcf0ecf0ad9bc35f114d1a28b963fd0,20001130_2.mp3,659beb24966a90e028c7ef1247aa85ec1ac48a6f0a8abee46a827accb4d9a7e8,2
e88b1816bfcf0ecf0ad9bc35f114d1a28b963fd0,20001130_3.mp3,10bf0fa3438e0b6b449d30b13e2f6c96dba61d31db67bac8b62f8a60b0c2b51e,3
e88b1816bfcf0ecf0ad9bc35f114d1a28b963fd0,20001130_5.mp3,46b6a18531f08faee643b3fbe24876f995dfa0a8fe8f951ec656af97de544d67,4
b1187dda4722e2b6ad97e12348f765df51a7f189,20001228_1.mp3,38ab92692e0015066f16bd27f659196c644f91e69bd4a70502e4e1e9015be109,1
78c8283ad54bf14e0976f81a6fea34da7217c673,20010111_1.mp3,0601445bb63f51e5eecc0d647001f429ad8f7403a5c70533d5d99daa2a0b7b4d,1
78c8283ad54bf14e0976f81a6fea34da7217c673,20010111_2.mp3,19692ac83c1acb63caada221bf706253fae2cb4f2626b4287423c096f093b4e6,2
78c8283ad54bf14e0976f81a6fea34da7217c673,20010111_3.mp3,765ce26410311d7d1e647081046bd8d37059191c777c5edb53e706a7512bd1ef,3
78c8283ad54bf14e0976f81a6fea34da7217c673,20010111_4.mp3,9f22389f2d9a8fae9a8b2fb5126f1f04358ebbd3a2475ab9649b25b64f60b2be,4
78c8283ad54bf14e0976f81a6fea34da7217c673,20010111_5.mp3,0e64b027d4dcd4ce0b03f2461b14341ee50123c7145ed93042494c745ef77735,5
1df9598556f95ea0483fc39a298ebcf3bb04cfda,20010128_1.mp3,3c9e74280926e8652e1af09f48747ffabeb89808f0bbcda213a3cdb16b16baf0,1
1df9598556f95ea0483fc39a298ebcf3bb04cfda,20010128_2.mp3,df2abf88a690f5ff3cebc5c42bea9e8371534d9e9433dca76caa85ce12f0a1a1,2
1df9598556f95ea0483fc39a298ebcf3bb04cfda,20010128_3.mp3,ef53e996c141573b3a1c8fa51debc4262defc1e8a24c080e275c4e6ab4a5168d,3
0193cccb6f26729999ce5f3a9ab565391435de21,20010221_1.mp3,4e966ec2fd0aaeabd0234c4e2b0ead807dadaffcd90892fb99665772568cbd1d,1
a83f51c9092633f85f40395eeb638f7b5ff5dd8a,20010314_1.mp3,684aa1f51f562b672c1297046456c131535e8dbb6501c6109f51457426b251fb,1
a83f51c9092633f85f40395eeb638f7b5ff5dd8a,20010314_2.mp3,641945812d757b638069d85b8e3f319596d73af21924c5b88d1ab95af977a60a,2
a83f51c9092633f85f40395eeb638f7b5ff5dd8a,20010314_3.mp3,6c8c4427a05170154ee99c8996ff7a916ed338a2e51335dec3645a5d8814bddd,3
a83f51c9092633f85f40395eeb638f7b5ff5dd8a,20010314_4.mp3,33461604830717ba0f9944cd6ee8a83fa3a761efe5f16c23b243131814207dcc,4
a83f51c9092633f85f40395eeb638f7b5ff5dd8a,20010314_5.mp3,edcc543579b16338c99e0e35f211cba1ff7292ad7efa4c0b4d27aa63b63c7404,5
cf72456075f2326c16a113dffbab177cfd22dc36,20010502_1.mp3,5f253a4869fcca80610b6fef5dc0a45c311b9d8cea27baa441fd6539481fb0b2,1
cf72456075f2326c16a113dffbab177cfd22dc36,20010502_2.mp3,00cc1ed86ecc7343435071bfa83b71b2798bdeab86af847a5a293d509618043d,2
b3d4419760142f396cc6daa9eb036bf6e229c6c1,20010516_1.mp3,8d7d50b6bcb8ff7a1d3c97d75e5858454cb3a60f31b4357601b2fb89655b2d82,1
68238ebea91ea08ec882ffcb825c4f2981dceba0,20010602_1.mp3,742874bb5a848bb745a38db19ec041bf0356a715f5d1f2b33ffd7db7ce7e5bed,1
bd06b7b65c3b76874baf1d98b1903cf191d62ba2,20010605_1.mp3,c7906a739cfaaeaf3c307117f46441e468277f7fbc63d774d02526a1f9a2b209,1
