session_key,source_relpath,seq
b3e52f618aae2727d6b5c59df4553868e5acdd31,19970723_2.mp3,1
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_1.mp3,1
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_10.mp3,2
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_11.mp3,3
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_2.mp3,4
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_3.mp3,5
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_4.mp3,6
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_5.mp3,7
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_6.mp3,8
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_7.mp3,9
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_8.mp3,10
47de6258a8e6e5c0683368b2eabfdc5e9220cc78,19971230_9.mp3,11
311f0f2c27c04703de48f2bbcc12827ddd0893e9,19980214_1.mp3,1
58d9be7660756086e0c4805e513f7fe3b9174bcd,19980228_1.mp3,1
58d9be7660756086e0c4805e513f7fe3b9174bcd,19980228_2.mp3,2
21032e8279e133005d78470259baf45754f92aa9,19980512_1.mp3,1
1b67db4ee373721f08ce6d8407fe21b8b73032a8,19980701_1.mp3,1
69b68fd6e6851e99c40f5cceb0feaaa1aa3229f9,19980708_1.mp3,1
69b68fd6e6851e99c40f5cceb0feaaa1aa3229f9,19980708_2.mp3,2
69b68fd6e6851e99c40f5cceb0feaaa1aa3229f9,19980708_3.mp3,3
4340b6527e10fdc2af8f196bbaf1cbbd8830d8da,19980910_1.mp3,1
4340b6527e10fdc2af8f196bbaf1cbbd8830d8da,19980910_2.mp3,2
4340b6527e10fdc2af8f196bbaf1cbbd8830d8da,19980910_3.mp3,3
4340b6527e10fdc2af8f196bbaf1cbbd8830d8da,19980910_4.mp3,4
4340b6527e10fdc2af8f196bbaf1cbbd8830d8da,19980910_5.mp3,5
5e8559ed263a69df202a8d15d562726c634e46aa,19980917_1.mp3,1
8d23cbbe7aa9751fa4e4551ce5e151ccce53e7af,19980930_1.mp3,1
8d23cbbe7aa9751fa4e4551ce5e151ccce53e7af,19980930_2.mp3,2
8d23cbbe7aa9751fa4e4551ce5e151ccce53e7af,19980930_3.mp3,3
8d23cbbe7aa9751fa4e4551ce5e151ccce53e7af,19980930_4.mp3,4
fd9f0cc0ecc03906d38a95fba1468bf32470738f,19981119_1.mp3,1
fd9f0cc0ecc03906d38a95fba1468bf32470738f,19981119_2.mp3,2
fd9f0cc0ecc03906d38a95fba1468bf32470738f,19981119_3.mp3,3
fd9f0cc0ecc03906d38a95fba1468bf32470738f,19981119_4.mp3,4
fd9f0cc0ecc03906d38a95fba1468bf32470738f,19981119_5.mp3,5
cdb80d35f80fe7e6992761a3aa8de5304f9f499b,19981217_1.mp3,1
cdb80d35f80fe7e6992761a3aa8de5304f9f499b,19981217_2.mp3,2
346032b4089e43488a2306097d0c524781dab28c,19990114_1.mp3,1
346032b4089e43488a2306097d0c524781dab28c,19990114_2.mp3,2
346032b4089e43488a2306097d0c524781dab28c,19990114_3.mp3,3
346032b4089e43488a2306097d0c524781dab28c,19990114_4.mp3,4
e0d95b52f0eb5b159d76436b5007ec4bc48d81ed,19990131_1.mp3,1
e0d95b52f0eb5b159d76436b5007ec4bc48d81ed,19990131_2.mp3,2
143b3335ebed95d473900d9570bfbd3a2923d284,19990408_1.mp3,1
143b3335ebed95d473900d9570bfbd3a2923d284,19990408_2.mp3,2
64082d9ebd1d7145c4fc2acf182595eb4b4c1e3f,19990506_1.mp3,1
6b3d950d7a7c2639659978399c4ee2ebf566f1ed,19991106_1.mp3,1
6b3d950d7a7c2639659978399c4ee2ebf566f1ed,19991106_2.mp3,2
052d8fad7f46c0d4f6ae083c4ccb1bb81fc23fea,20000622_2.mp3,1
052d8fad7f46c0d4f6ae083c4ccb1bb81fc23fea,20000622_4.mp3,2
e85d24d52b017532fc1d817aa98c7897c86362c1,20000714_1.mp3,1
e85d24d52b017532fc1d817aa98c7897c86362c1,20000714_2.mp3,2
e85d24d52b017532fc1d817aa98c7897c86362c1,20000714_8.mp3,3
4154deffa8b4b1e17a202afa22379e91853eb65d,20000803_3.mp3,1
4154deffa8b4b1e17a202afa22379e91853eb65d,20000803_4.mp3,2
94e0bf08e870741254fd10cd1f8ff86618679e78,20000816_1.mp3,1
9eadd73542f1573c69cd00df69f689995c7f4d62,20000831_1.mp3,1
9eadd73542f1573c69cd00df69f689995c7f4d62,20000831_2.mp3,2
6cd4efa3dbf504131760e3e1ab140624846f5707,20001005_1.mp3,1
e88b1816bfcf0ecf0ad9bc35f114d1a28b963fd0,20001130_1.mp3,1
e88b1816bfcf0ecf0ad9bc35f114d1a28b963fd0,20001130_2.mp3,2
e88b1816bfcf0ecf0ad9bc35f114d1a28b963fd0,20001130_3.mp3,3
e88b1816bfcf0ecf0ad9bc35f114d1a28b963fd0,20001130_5.mp3,4
b1187dda4722e2b6ad97e12348f765df51a7f189,20001228_1.mp3,1
78c8283ad54bf14e0976f81a6fea34da7217c673,20010111_1.mp3,1
78c8283ad54bf14e0976f81a6fea34da7217c673,20010111_2.mp3,2
78c8283ad54bf14e0976f81a6fea34da7217c673,20010111_3.mp3,3
78c8283ad54bf14e0976f81a6fea34da7217c673,20010111_4.mp3,4
78c8283ad54bf14e0976f81a6fea34da7217c673,20010111_5.mp3,5
1df9598556f95ea0483fc39a298ebcf3bb04cfda,20010128_1.mp3,1
1df9598556f95ea0483fc39a298ebcf3bb04cfda,20010128_2.mp3,2
1df9598556f95ea0483fc39a298ebcf3bb04cfda,20010128_3.mp3,3
0193cccb6f26729999ce5f3a9ab565391435de21,20010221_1.mp3,1
a83f51c9092633f85f40395eeb638f7b5ff5dd8a,20010314_1.mp3,1
a83f51c9092633f85f40395eeb638f7b5ff5dd8a,20010314_2.mp3,2
a83f51c9092633f85f40395eeb638f7b5ff5dd8a,20010314_3.mp3,3
a83f51c9092633f85f40395eeb638f7b5ff5dd8a,20010314_4.mp3,4
a83f51c9092633f85f40395eeb638f7b5ff5dd8a,20010314_5.mp3,5
cf72456075f2326c16a113dffbab177cfd22dc36,20010502_1.mp3,1
cf72456075f2326c16a113dffbab177cfd22dc36,20010502_2.mp3,2
b3d4419760142f396cc6daa9eb036bf6e229c6c1,20010516_1.mp3,1
68238ebea91ea08ec882ffcb825c4f2981dceba0,20010602_1.mp3,1
bd06b7b65c3b76874baf1d98b1903cf191d62ba2,20010605_1.mp3,1
bd06b7b65c3b76874baf1d98b1903cf191d62ba2,20010605_2.mp3,2
bd06b7b65c3b76874baf1d98b1903cf191d62ba2,20010605_3.mp3,3
bd06b7b65c3b76874baf1d98b1903cf191d62ba2,20010605_4.mp3,4
f6040c411b62800aa12bac776fe3c1e3bcce9c49,20010620_1.mp3,1
6cdd7e9cf4972ff1c9c3f8fe243f78efb81f4139,20010801_1.mp3,1
6cdd7e9cf4972ff1c9c3f8fe243f78efb81f4139,20010801_2.mp3,2
9ece35ec8f1622f3b60ee99f5c8797f9d2036cf4,20010822_1.mp3,1
