session_id,title,date,description,cover_image_url,crew,location,rating,summary,published_at,explicit,duration,keywords
1,Oct 24,2002-10-24,,images/jam/20021024.jpg,"Ankhboy, Maximus, SRC, Snuffler, Stu, SweetP, TBonk, Trebor",,****,,,0,,
2,Mar 3,2005-03-03,,images/jam/blank.jpg,"Maximus, SRC, Snuffler, Stu, TBonk, Trebor",,,,,0,,
